id,stress_slice,ground_truth_fqdn,gold_rank,gold_in_top_k,head_fqdn
hard_boundary_v1_000059,low_rank_gold,restaurant.travel.cn,4,true,coupon.commerce.cn
hard_boundary_v1_000060,low_rank_gold,restaurant.travel.cn,4,true,coupon.commerce.cn
hard_boundary_v1_000061,low_rank_gold,restaurant.travel.cn,4,true,price.commerce.cn
hard_boundary_v1_000062,low_rank_gold,nutrition.health.cn,4,true,fitness.health.cn
hard_boundary_v1_000063,low_rank_gold,nutrition.health.cn,4,true,fitness.health.cn
hard_boundary_v1_000064,low_rank_gold,fitness.health.cn,4,true,schedule.meeting.productivity.cn
hard_boundary_v1_000065,low_rank_gold,fitness.health.cn,4,true,nutrition.health.cn
hard_boundary_v1_000066,low_rank_gold,course.education.cn,4,true,tutoring.education.cn
hard_boundary_v1_000067,low_rank_gold,course.education.cn,4,true,tutoring.education.cn
hard_boundary_v1_000068,low_rank_gold,course.education.cn,4,true,tutoring.education.cn
hard_boundary_v1_000069,low_rank_gold,permit.gov.cn,20,true,policy.gov.cn
hard_boundary_v1_000070,low_rank_gold,permit.gov.cn,20,true,policy.gov.cn
hard_boundary_v1_000071,low_rank_gold,permit.gov.cn,19,true,policy.gov.cn
hard_boundary_v1_000072,low_rank_gold,permit.gov.cn,19,true,policy.gov.cn
hard_boundary_v1_000073,low_rank_gold,permit.gov.cn,19,true,policy.gov.cn
hard_boundary_v1_000074,low_rank_gold,invest.finance.cn,15,true,tax.finance.cn
hard_boundary_v1_000075,low_rank_gold,invest.finance.cn,14,true,tax.finance.cn
hard_boundary_v1_000076,low_rank_gold,invest.finance.cn,14,true,tax.finance.cn
hard_boundary_v1_000077,low_rank_gold,invest.finance.cn,14,true,tax.finance.cn
hard_boundary_v1_000078,low_rank_gold,invest.finance.cn,14,true,tax.finance.cn
hard_boundary_v1_000079,low_rank_gold,invest.finance.cn,14,true,tax.finance.cn
hard_boundary_v1_000080,low_rank_gold,invest.finance.cn,14,true,tax.finance.cn
hard_boundary_v1_000081,parent_child_granularity,data.compliance.security.cn,1,true,data.compliance.security.cn
hard_boundary_v1_000082,parent_child_granularity,data.compliance.security.cn,1,true,data.compliance.security.cn
hard_boundary_v1_000083,parent_child_granularity,data.compliance.security.cn,1,true,data.compliance.security.cn
hard_boundary_v1_000084,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000085,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000086,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000087,parent_child_granularity,transaction.compliance.security.cn,1,true,transaction.compliance.security.cn
hard_boundary_v1_000088,parent_child_granularity,transaction.compliance.security.cn,1,true,transaction.compliance.security.cn
hard_boundary_v1_000089,parent_child_granularity,transaction.compliance.security.cn,1,true,transaction.compliance.security.cn
hard_boundary_v1_000090,parent_child_granularity,issue.invoice.finance.cn,1,true,issue.invoice.finance.cn
hard_boundary_v1_000091,parent_child_granularity,issue.invoice.finance.cn,4,true,invoice.finance.cn
hard_boundary_v1_000092,parent_child_granularity,issue.invoice.finance.cn,1,true,issue.invoice.finance.cn
hard_boundary_v1_000093,parent_child_granularity,verify.invoice.finance.cn,1,true,verify.invoice.finance.cn
hard_boundary_v1_000094,parent_child_granularity,verify.invoice.finance.cn,,false,invoice.finance.cn
hard_boundary_v1_000095,parent_child_granularity,verify.invoice.finance.cn,1,true,verify.invoice.finance.cn
hard_boundary_v1_000096,parent_child_granularity,reimburse.invoice.finance.cn,1,true,reimburse.invoice.finance.cn
hard_boundary_v1_000097,parent_child_granularity,reimburse.invoice.finance.cn,1,true,reimburse.invoice.finance.cn
hard_boundary_v1_000098,parent_child_granularity,reimburse.invoice.finance.cn,1,true,reimburse.invoice.finance.cn
hard_boundary_v1_000099,parent_child_granularity,schedule.meeting.productivity.cn,2,true,meeting.productivity.cn
hard_boundary_v1_000100,parent_child_granularity,schedule.meeting.productivity.cn,1,true,schedule.meeting.productivity.cn
hard_boundary_v1_000101,parent_child_granularity,schedule.meeting.productivity.cn,2,true,meeting.productivity.cn
hard_boundary_v1_000102,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000103,parent_child_granularity,summary.meeting.productivity.cn,2,true,risk.security.cn
hard_boundary_v1_000104,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000105,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000106,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000107,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000108,parent_child_granularity,beijing.hotel.travel.cn,1,true,beijing.hotel.travel.cn
hard_boundary_v1_000109,parent_child_granularity,beijing.hotel.travel.cn,1,true,beijing.hotel.travel.cn
hard_boundary_v1_000110,parent_child_granularity,beijing.hotel.travel.cn,1,true,beijing.hotel.travel.cn
hard_boundary_v1_000111,parent_child_granularity,xian.itinerary.travel.cn,1,true,xian.itinerary.travel.cn
hard_boundary_v1_000112,parent_child_granularity,xian.itinerary.travel.cn,2,true,xian.hotel.travel.cn
hard_boundary_v1_000113,parent_child_granularity,xian.itinerary.travel.cn,1,true,xian.itinerary.travel.cn
hard_boundary_v1_000114,parent_child_granularity,data.compliance.security.cn,2,true,docs.productivity.cn
hard_boundary_v1_000115,parent_child_granularity,data.compliance.security.cn,1,true,data.compliance.security.cn
hard_boundary_v1_000116,parent_child_granularity,data.compliance.security.cn,1,true,data.compliance.security.cn
hard_boundary_v1_000117,parent_child_granularity,data.compliance.security.cn,2,true,risk.security.cn
hard_boundary_v1_000118,parent_child_granularity,data.compliance.security.cn,2,true,course.education.cn
hard_boundary_v1_000119,parent_child_granularity,data.compliance.security.cn,5,true,risk.security.cn
hard_boundary_v1_000120,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000121,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000122,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000123,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000124,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000125,parent_child_granularity,account.compliance.security.cn,1,true,account.compliance.security.cn
hard_boundary_v1_000126,parent_child_granularity,transaction.compliance.security.cn,1,true,transaction.compliance.security.cn
hard_boundary_v1_000127,parent_child_granularity,transaction.compliance.security.cn,1,true,transaction.compliance.security.cn
hard_boundary_v1_000128,parent_child_granularity,transaction.compliance.security.cn,1,true,transaction.compliance.security.cn
hard_boundary_v1_000129,parent_child_granularity,transaction.compliance.security.cn,3,true,policy.gov.cn
hard_boundary_v1_000130,parent_child_granularity,transaction.compliance.security.cn,1,true,transaction.compliance.security.cn
hard_boundary_v1_000131,parent_child_granularity,transaction.compliance.security.cn,3,true,policy.gov.cn
hard_boundary_v1_000132,parent_child_granularity,issue.invoice.finance.cn,1,true,issue.invoice.finance.cn
hard_boundary_v1_000133,parent_child_granularity,issue.invoice.finance.cn,1,true,issue.invoice.finance.cn
hard_boundary_v1_000134,parent_child_granularity,issue.invoice.finance.cn,1,true,issue.invoice.finance.cn
hard_boundary_v1_000135,parent_child_granularity,verify.invoice.finance.cn,1,true,verify.invoice.finance.cn
hard_boundary_v1_000136,parent_child_granularity,verify.invoice.finance.cn,,false,activity.travel.cn
hard_boundary_v1_000137,parent_child_granularity,verify.invoice.finance.cn,1,true,verify.invoice.finance.cn
hard_boundary_v1_000138,parent_child_granularity,reimburse.invoice.finance.cn,1,true,reimburse.invoice.finance.cn
hard_boundary_v1_000139,parent_child_granularity,reimburse.invoice.finance.cn,2,true,hotel.travel.cn
hard_boundary_v1_000140,parent_child_granularity,reimburse.invoice.finance.cn,1,true,reimburse.invoice.finance.cn
hard_boundary_v1_000141,parent_child_granularity,schedule.meeting.productivity.cn,,false,activity.travel.cn
hard_boundary_v1_000142,parent_child_granularity,schedule.meeting.productivity.cn,1,true,schedule.meeting.productivity.cn
hard_boundary_v1_000143,parent_child_granularity,schedule.meeting.productivity.cn,,false,activity.travel.cn
hard_boundary_v1_000144,parent_child_granularity,schedule.meeting.productivity.cn,1,true,schedule.meeting.productivity.cn
hard_boundary_v1_000145,parent_child_granularity,schedule.meeting.productivity.cn,2,true,meeting.productivity.cn
hard_boundary_v1_000146,parent_child_granularity,schedule.meeting.productivity.cn,1,true,schedule.meeting.productivity.cn
hard_boundary_v1_000147,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000148,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000149,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000150,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000151,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000152,parent_child_granularity,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000153,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000154,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000155,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000156,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000157,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000158,parent_child_granularity,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000159,parent_child_granularity,beijing.hotel.travel.cn,1,true,beijing.hotel.travel.cn
hard_boundary_v1_000160,parent_child_granularity,beijing.hotel.travel.cn,1,true,beijing.hotel.travel.cn
hard_boundary_v1_000161,parent_child_granularity,beijing.hotel.travel.cn,1,true,beijing.hotel.travel.cn
hard_boundary_v1_000162,parent_child_granularity,beijing.hotel.travel.cn,2,true,hotel.travel.cn
hard_boundary_v1_000163,parent_child_granularity,beijing.hotel.travel.cn,2,true,risk.security.cn
hard_boundary_v1_000164,parent_child_granularity,beijing.hotel.travel.cn,2,true,hotel.travel.cn
hard_boundary_v1_000165,parent_child_granularity,xian.itinerary.travel.cn,1,true,xian.itinerary.travel.cn
hard_boundary_v1_000166,parent_child_granularity,xian.itinerary.travel.cn,3,true,schedule.meeting.productivity.cn
hard_boundary_v1_000167,parent_child_granularity,xian.itinerary.travel.cn,1,true,xian.itinerary.travel.cn
hard_boundary_v1_000168,parent_child_granularity,xian.itinerary.travel.cn,1,true,xian.itinerary.travel.cn
hard_boundary_v1_000169,parent_child_granularity,xian.itinerary.travel.cn,1,true,xian.itinerary.travel.cn
hard_boundary_v1_000170,parent_child_granularity,xian.itinerary.travel.cn,1,true,xian.itinerary.travel.cn
hard_boundary_v1_000171,primary_secondary_conflict,reimburse.invoice.finance.cn,3,true,hotel.travel.cn
hard_boundary_v1_000172,primary_secondary_conflict,reimburse.invoice.finance.cn,1,true,reimburse.invoice.finance.cn
hard_boundary_v1_000173,primary_secondary_conflict,reimburse.invoice.finance.cn,3,true,hotel.travel.cn
hard_boundary_v1_000174,primary_secondary_conflict,flight.travel.cn,1,true,flight.travel.cn
hard_boundary_v1_000175,primary_secondary_conflict,flight.travel.cn,1,true,flight.travel.cn
hard_boundary_v1_000176,primary_secondary_conflict,flight.travel.cn,2,true,weather.cn
hard_boundary_v1_000177,primary_secondary_conflict,docs.productivity.cn,2,true,policy.gov.cn
hard_boundary_v1_000178,primary_secondary_conflict,docs.productivity.cn,1,true,docs.productivity.cn
hard_boundary_v1_000179,primary_secondary_conflict,docs.productivity.cn,2,true,policy.gov.cn
hard_boundary_v1_000180,primary_secondary_conflict,budget.finance.cn,1,true,budget.finance.cn
hard_boundary_v1_000181,primary_secondary_conflict,budget.finance.cn,2,true,price.commerce.cn
hard_boundary_v1_000182,primary_secondary_conflict,budget.finance.cn,1,true,budget.finance.cn
hard_boundary_v1_000183,primary_secondary_conflict,course.education.cn,1,true,course.education.cn
hard_boundary_v1_000184,primary_secondary_conflict,course.education.cn,2,true,docs.productivity.cn
hard_boundary_v1_000185,primary_secondary_conflict,course.education.cn,1,true,course.education.cn
hard_boundary_v1_000186,primary_secondary_conflict,nutrition.health.cn,2,true,fitness.health.cn
hard_boundary_v1_000187,primary_secondary_conflict,nutrition.health.cn,3,true,fitness.health.cn
hard_boundary_v1_000188,primary_secondary_conflict,nutrition.health.cn,2,true,fitness.health.cn
hard_boundary_v1_000189,primary_secondary_conflict,permit.gov.cn,2,true,policy.gov.cn
hard_boundary_v1_000190,primary_secondary_conflict,permit.gov.cn,2,true,policy.gov.cn
hard_boundary_v1_000191,primary_secondary_conflict,permit.gov.cn,2,true,policy.gov.cn
hard_boundary_v1_000192,primary_secondary_conflict,restaurant.travel.cn,3,true,coupon.commerce.cn
hard_boundary_v1_000193,primary_secondary_conflict,restaurant.travel.cn,2,true,coupon.commerce.cn
hard_boundary_v1_000194,primary_secondary_conflict,restaurant.travel.cn,2,true,coupon.commerce.cn
hard_boundary_v1_000195,primary_secondary_conflict,risk.security.cn,2,true,policy.gov.cn
hard_boundary_v1_000196,primary_secondary_conflict,risk.security.cn,22,true,policy.gov.cn
hard_boundary_v1_000197,primary_secondary_conflict,risk.security.cn,2,true,policy.gov.cn
hard_boundary_v1_000198,primary_secondary_conflict,issue.invoice.finance.cn,,false,tax.finance.cn
hard_boundary_v1_000199,primary_secondary_conflict,issue.invoice.finance.cn,1,true,issue.invoice.finance.cn
hard_boundary_v1_000200,primary_secondary_conflict,issue.invoice.finance.cn,,false,tax.finance.cn
hard_boundary_v1_000201,primary_secondary_conflict,verify.invoice.finance.cn,4,true,reimburse.invoice.finance.cn
hard_boundary_v1_000202,primary_secondary_conflict,verify.invoice.finance.cn,,false,hotel.travel.cn
hard_boundary_v1_000203,primary_secondary_conflict,verify.invoice.finance.cn,4,true,reimburse.invoice.finance.cn
hard_boundary_v1_000204,primary_secondary_conflict,schedule.meeting.productivity.cn,3,true,meeting.productivity.cn
hard_boundary_v1_000205,primary_secondary_conflict,schedule.meeting.productivity.cn,2,true,docs.productivity.cn
hard_boundary_v1_000206,primary_secondary_conflict,schedule.meeting.productivity.cn,3,true,meeting.productivity.cn
hard_boundary_v1_000207,primary_secondary_conflict,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000208,primary_secondary_conflict,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000209,primary_secondary_conflict,summary.meeting.productivity.cn,1,true,summary.meeting.productivity.cn
hard_boundary_v1_000210,primary_secondary_conflict,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000211,primary_secondary_conflict,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000212,primary_secondary_conflict,action-items.meeting.productivity.cn,1,true,action-items.meeting.productivity.cn
hard_boundary_v1_000213,primary_secondary_conflict,hotel.travel.cn,4,true,shenzhen.hotel.travel.cn
hard_boundary_v1_000214,primary_secondary_conflict,hotel.travel.cn,3,true,transport.travel.cn
hard_boundary_v1_000215,primary_secondary_conflict,hotel.travel.cn,3,true,shenzhen.hotel.travel.cn
hard_boundary_v1_000216,primary_secondary_conflict,transport.travel.cn,1,true,transport.travel.cn
hard_boundary_v1_000217,primary_secondary_conflict,transport.travel.cn,12,true,hotel.travel.cn
hard_boundary_v1_000218,primary_secondary_conflict,transport.travel.cn,1,true,transport.travel.cn
hard_boundary_v1_000219,primary_secondary_conflict,weather.cn,2,true,activity.travel.cn
hard_boundary_v1_000220,primary_secondary_conflict,weather.cn,1,true,weather.cn
hard_boundary_v1_000221,primary_secondary_conflict,weather.cn,2,true,activity.travel.cn
hard_boundary_v1_000222,primary_secondary_conflict,activity.travel.cn,1,true,activity.travel.cn
hard_boundary_v1_000223,primary_secondary_conflict,activity.travel.cn,2,true,weather.cn
hard_boundary_v1_000224,primary_secondary_conflict,activity.travel.cn,1,true,activity.travel.cn
hard_boundary_v1_000225,primary_secondary_conflict,price.commerce.cn,1,true,price.commerce.cn
hard_boundary_v1_000226,primary_secondary_conflict,price.commerce.cn,2,true,budget.finance.cn
hard_boundary_v1_000227,primary_secondary_conflict,price.commerce.cn,1,true,price.commerce.cn
hard_boundary_v1_000228,primary_secondary_conflict,coupon.commerce.cn,1,true,coupon.commerce.cn
hard_boundary_v1_000229,primary_secondary_conflict,coupon.commerce.cn,1,true,coupon.commerce.cn
hard_boundary_v1_000230,primary_secondary_conflict,coupon.commerce.cn,1,true,coupon.commerce.cn
hard_boundary_v1_000231,primary_secondary_conflict,invest.finance.cn,13,true,tax.finance.cn
hard_boundary_v1_000232,primary_secondary_conflict,invest.finance.cn,13,true,docs.productivity.cn
hard_boundary_v1_000233,primary_secondary_conflict,invest.finance.cn,14,true,tax.finance.cn
hard_boundary_v1_000234,primary_secondary_conflict,tax.finance.cn,1,true,tax.finance.cn
hard_boundary_v1_000235,primary_secondary_conflict,tax.finance.cn,2,true,policy.gov.cn
hard_boundary_v1_000236,primary_secondary_conflict,tax.finance.cn,1,true,tax.finance.cn
hard_boundary_v1_000237,primary_secondary_conflict,compliance.security.cn,1,true,compliance.security.cn
hard_boundary_v1_000238,primary_secondary_conflict,compliance.security.cn,1,true,compliance.security.cn
hard_boundary_v1_000239,primary_secondary_conflict,compliance.security.cn,1,true,compliance.security.cn
hard_boundary_v1_000240,primary_secondary_conflict,fraud.security.cn,2,true,risk.security.cn
hard_boundary_v1_000241,primary_secondary_conflict,fraud.security.cn,4,true,activity.travel.cn
hard_boundary_v1_000242,primary_secondary_conflict,fraud.security.cn,2,true,risk.security.cn
hard_boundary_v1_000243,primary_secondary_conflict,risk.security.cn,2,true,compliance.security.cn
hard_boundary_v1_000244,primary_secondary_conflict,risk.security.cn,2,true,compliance.security.cn
hard_boundary_v1_000245,primary_secondary_conflict,risk.security.cn,2,true,compliance.security.cn
hard_boundary_v1_000246,primary_secondary_conflict,clinic.health.cn,2,true,nutrition.health.cn
hard_boundary_v1_000247,primary_secondary_conflict,clinic.health.cn,10,true,nutrition.health.cn
hard_boundary_v1_000248,primary_secondary_conflict,clinic.health.cn,2,true,nutrition.health.cn
hard_boundary_v1_000249,primary_secondary_conflict,fitness.health.cn,1,true,fitness.health.cn
hard_boundary_v1_000250,primary_secondary_conflict,fitness.health.cn,1,true,fitness.health.cn
hard_boundary_v1_000251,primary_secondary_conflict,fitness.health.cn,1,true,fitness.health.cn
hard_boundary_v1_000252,primary_secondary_conflict,tutoring.education.cn,1,true,tutoring.education.cn
hard_boundary_v1_000253,primary_secondary_conflict,tutoring.education.cn,1,true,tutoring.education.cn
hard_boundary_v1_000254,primary_secondary_conflict,tutoring.education.cn,1,true,tutoring.education.cn
hard_boundary_v1_000255,primary_secondary_conflict,flight.travel.cn,1,true,flight.travel.cn
hard_boundary_v1_000256,primary_secondary_conflict,flight.travel.cn,2,true,transport.travel.cn
hard_boundary_v1_000257,primary_secondary_conflict,flight.travel.cn,1,true,flight.travel.cn
hard_boundary_v1_000258,primary_secondary_conflict,itinerary.travel.cn,4,true,yunnan.itinerary.travel.cn
hard_boundary_v1_000259,primary_secondary_conflict,itinerary.travel.cn,4,true,flight.travel.cn
hard_boundary_v1_000260,primary_secondary_conflict,itinerary.travel.cn,4,true,yunnan.itinerary.travel.cn
hard_boundary_v1_000261,cross_domain_overlap,itinerary.travel.cn,6,true,weather.cn
hard_boundary_v1_000262,cross_domain_overlap,itinerary.travel.cn,4,true,hotel.travel.cn
hard_boundary_v1_000263,cross_domain_overlap,itinerary.travel.cn,6,true,weather.cn
hard_boundary_v1_000264,cross_domain_overlap,budget.finance.cn,1,true,budget.finance.cn
hard_boundary_v1_000265,cross_domain_overlap,budget.finance.cn,5,true,invoice.finance.cn
hard_boundary_v1_000266,cross_domain_overlap,budget.finance.cn,1,true,budget.finance.cn
hard_boundary_v1_000267,cross_domain_overlap,docs.productivity.cn,6,true,policy.gov.cn
hard_boundary_v1_000268,cross_domain_overlap,docs.productivity.cn,2,true,policy.gov.cn
hard_boundary_v1_000269,cross_domain_overlap,docs.productivity.cn,4,true,policy.gov.cn
hard_boundary_v1_000270,cross_domain_overlap,meeting.productivity.cn,3,true,compliance.security.cn
hard_boundary_v1_000271,cross_domain_overlap,meeting.productivity.cn,1,true,meeting.productivity.cn
hard_boundary_v1_000272,cross_domain_overlap,meeting.productivity.cn,3,true,compliance.security.cn
hard_boundary_v1_000273,cross_domain_overlap,restaurant.travel.cn,1,true,restaurant.travel.cn
hard_boundary_v1_000274,cross_domain_overlap,restaurant.travel.cn,3,true,coupon.commerce.cn
hard_boundary_v1_000275,cross_domain_overlap,restaurant.travel.cn,1,true,restaurant.travel.cn
hard_boundary_v1_000276,cross_domain_overlap,nutrition.health.cn,1,true,nutrition.health.cn
hard_boundary_v1_000277,cross_domain_overlap,nutrition.health.cn,19,true,clinic.health.cn
hard_boundary_v1_000278,cross_domain_overlap,nutrition.health.cn,1,true,nutrition.health.cn
hard_boundary_v1_000279,cross_domain_overlap,weather.cn,1,true,weather.cn
hard_boundary_v1_000280,cross_domain_overlap,weather.cn,5,true,hangzhou.hotel.travel.cn
hard_boundary_v1_000281,cross_domain_overlap,weather.cn,1,true,weather.cn
hard_boundary_v1_000282,cross_domain_overlap,course.education.cn,1,true,course.education.cn
hard_boundary_v1_000283,cross_domain_overlap,course.education.cn,1,true,course.education.cn
hard_boundary_v1_000284,cross_domain_overlap,course.education.cn,1,true,course.education.cn
hard_boundary_v1_000285,cross_domain_overlap,permit.gov.cn,3,true,policy.gov.cn
hard_boundary_v1_000286,cross_domain_overlap,permit.gov.cn,19,true,policy.gov.cn
hard_boundary_v1_000287,cross_domain_overlap,permit.gov.cn,3,true,policy.gov.cn
hard_boundary_v1_000288,cross_domain_overlap,itinerary.travel.cn,3,true,flight.travel.cn
hard_boundary_v1_000289,cross_domain_overlap,itinerary.travel.cn,5,true,chengdu.hotel.travel.cn
